algoritmo,n,tipo_array,tempo
insertion,1000,random,0.000000
merge,1000,random,0.002000
insertion,1000,reverse,0.002000
merge,1000,reverse,0.000000
insertion,1000,sorted,0.000000
merge,1000,sorted,0.000000
insertion,10000,random,0.116000
merge,10000,random,0.004000
insertion,10000,reverse,0.155000
merge,10000,reverse,0.004000
insertion,10000,sorted,0.000000
merge,10000,sorted,0.006000
insertion,100000,random,7.743000
merge,100000,random,0.055000
insertion,100000,reverse,15.018000
merge,100000,reverse,0.049000
insertion,100000,sorted,0.001000
merge,100000,sorted,0.044000
insertion,500000,random,60.705000
merge,500000,random,0.204000
insertion,500000,reverse,367.708000
merge,500000,reverse,0.162000
insertion,500000,sorted,0.003000
merge,500000,sorted,0.215000
insertion,1000000,random,157.550000
merge,1000000,random,0.415000
insertion,1000000,reverse,1365.060000
merge,1000000,reverse,0.373000
insertion,1000000,sorted,0.004000
merge,1000000,sorted,0.442000
