algoritmo,n,tipo_array,tempo
insertion,1000000,random,65.939000
merge,1000000,random,0.206000
insertion,1000000,reverse,711.592000
merge,1000000,reverse,0.153000
insertion,1000000,sorted,0.003000
merge,1000000,sorted,0.154000
insertion,2000000,random,134.860000
merge,2000000,random,0.413000
insertion,2000000,reverse,2809.980000
merge,2000000,reverse,0.302000
insertion,2000000,sorted,0.004000
merge,2000000,sorted,0.321000
insertion,3000000,random,203.490000
merge,3000000,random,0.617000
insertion,3000000,reverse,6318.002000
merge,3000000,reverse,0.465000
insertion,3000000,sorted,0.007000
merge,3000000,sorted,0.485000
insertion,4000000,random,273.694000
merge,4000000,random,0.845000
insertion,4000000,reverse,11252.781000
merge,4000000,reverse,0.635000
insertion,4000000,sorted,0.011000
merge,4000000,sorted,0.636000
insertion,5000000,random,342.381000
merge,5000000,random,1.074000
insertion,5000000,reverse,17593.798000
merge,5000000,reverse,0.787000
insertion,5000000,sorted,0.012000
merge,5000000,sorted,0.814000
